section_ID,top (cm),bottom (cm),numerical code_simplified,Lithotype Code
5068_2_A_003_1,0,101,3,Dm
5068_2_A_005_1,0,100,3,Dm
5068_2_A_009_1,0,100.5,3,Dm
5068_2_A_016_1,0,8,1,Gm
5068_2_A_016_1,8,25,5,Sm
5068_2_A_016_1,25,100,1,Gm
5068_2_A_017_1,0,100,1,Gm
5068_2_A_021_1,0,100,1,Gm
5068_2_A_025_1,0,100,1,Gm
5068_2_A_028_1,0,101,1,Gm
5068_2_A_029_1,0,100,1,Gm
5068_2_A_031_1,0,100,1,Gm
5068_2_A_036_1,0,100.5,1,Gm
5068_2_A_037_1,0,70,1,Gm
5068_2_A_037_1,70,75,5,Sm
5068_2_A_037_1,75,99.5,1,Gm
5068_2_A_041_1,0,100,1,Gm
5068_2_A_042_1,0,80,1,Gm
5068_2_A_042_1,80,88,6,Sl
5068_2_A_042_1,88,99.5,1,Gm
5068_2_A_043_1,0,99.5,1,Gm
5068_2_A_045_1,0,100,1,Gm
5068_2_A_048_1,0,77,1,Gm
5068_2_A_048_1,77,99.5,6,Sl
5068_2_A_050_1,0,40,6,Sl
5068_2_A_050_1,40,92,5,Sm
5068_2_A_050_1,92,100,6,Sl
5068_2_A_051_1,0,86,6,Sl
5068_2_A_051_1,86,94,2,Fm
5068_2_A_051_1,94,100,6,Sl
5068_2_A_052_1,0,84,6,Sl
5068_2_A_052_1,84,101,5,Sm
5068_2_A_067_1,0,9,5,Sm
5068_2_A_067_1,9,24,3,Dm
5068_2_A_067_1,24,48,5,Sm
5068_2_A_067_1,48,62,6,Sl
5068_2_A_067_1,62,72,5,Sm
5068_2_A_067_1,72,89,6,Sl
5068_2_A_067_1,89,101,5,Sm
5068_2_A_068_1,0,20,6,Sl
5068_2_A_068_1,20,101.5,5,Sm
5068_2_A_069_1,0,93,5,Sm
5068_2_A_069_1,93,102,6,Sl
5068_2_A_071_1,0,6,3,Dm
5068_2_A_071_1,6,67,5,Sm
5068_2_A_071_1,67,70,2,Fm
5068_2_A_071_1,70,100.5,3,Dm
5068_2_A_072_2,0,100,6,Sl
5068_2_A_073_1,0,20,6,Sl
5068_2_A_073_1,20,24,2,Fm
5068_2_A_073_1,24,51,3,Dm
5068_2_A_073_1,51,71,2,Fm
5068_2_A_073_1,71,103,5,Sm
5068_2_A_076_1,0,10,3,Dm
5068_2_A_076_1,10,21,7,Sd
5068_2_A_076_1,21,74,6,Sl
5068_2_A_076_1,74,87,7,Sd
5068_2_A_076_1,87,99.5,6,Sl
5068_2_A_077_1,0,20,6,Sl
5068_2_A_077_1,20,86,7,Sd
5068_2_A_077_1,86,90,2,Fm
5068_2_A_077_1,90,102.5,5,Sm
5068_2_A_078_1,0,3,5,Sm
5068_2_A_078_1,3,31,2,Fm
5068_2_A_078_1,31,47,7,Sd
5068_2_A_078_1,47,101,5,Sm
5068_2_A_080_1,0,11,5,Sm
5068_2_A_080_1,11,51,3,Dm
5068_2_A_080_1,51,59,2,Fm
5068_2_A_080_1,59,100.5,5,Sm
5068_2_A_081_1,0,22,5,Sm
5068_2_A_081_1,22,25,2,Fm
5068_2_A_081_1,25,28,3,Dm
5068_2_A_081_1,28,101.5,5,Sm
5068_2_A_082_1,0,101.5,5,Sm
5068_2_A_083_1,0,30,5,Sm
5068_2_A_083_1,30,72,6,Sl
5068_2_A_083_1,72,100.5,5,Sm
5068_2_A_084_1,0,36,5,Sm
5068_2_A_084_1,36,51,3,Dm
5068_2_A_084_1,51,56,2,Fm
5068_2_A_084_1,56,102,7,Sd
5068_2_A_088_1,0,100,7,Sd
5068_2_A_089_1,0,35,3,Dm
5068_2_A_089_1,35,40,2,Fm
5068_2_A_089_1,40,84,7,Sd
5068_2_A_089_1,84,91,3,Dm
5068_2_A_089_1,91,102,7,Sd
5068_2_A_090_1,0,7,7,Sd
5068_2_A_090_1,7,8,2,Fm
5068_2_A_090_1,8,14,5,Sm
5068_2_A_090_1,14,15,2,Fm
5068_2_A_090_1,15,38,5,Sm
5068_2_A_090_1,38,42,1,Gm
5068_2_A_090_1,42,47,5,Sm
5068_2_A_090_1,47,54,4,Dc
5068_2_A_090_1,54,63,5,Sm
5068_2_A_090_1,63,100.5,4,Dc
5068_2_A_091_1,0,100.5,4,Dc
5068_2_A_093_1,0,49,4,Dc
5068_2_A_095_1,0,100.5,4,Dc
5068_2_A_096_1,0,101,4,Dc
5068_2_A_097_1,0,100,4,Dc
5068_2_A_122_1,0,51,5,Sm
5068_2_A_123_1,0,50,5,Sm
5068_2_A_123_1,50,56,6,Sl
5068_2_A_123_1,56,84,5,Sm
5068_2_A_123_1,84,90,6,Sl
5068_2_A_123_1,90,95,1,Gm
5068_2_A_123_1,95,101,5,Sm
5068_2_A_124_1,0,8,7,Sd
5068_2_A_124_1,8,101,3,Dm
5068_2_A_127_1,0,20,5,Sm
5068_2_A_127_1,20,31,1,Gm
5068_2_A_127_1,31,58,5,Sm
5068_2_A_127_1,58,101,1,Gm
5068_2_A_131_1,0,6,5,Sm
5068_2_A_131_1,6,56,6,Sl
5068_2_A_131_1,56,101,5,Sm
5068_2_A_132_1,0,92,5,Sm
5068_2_A_132_1,92,101,6,Sl
5068_2_A_133_1,0,94,6,Sl
5068_2_A_133_1,94,101,5,Sm
5068_2_A_134_1,0,100.5,5,Sm
5068_2_A_136_1,0,100.5,5,Sm
5068_2_A_137_1,0,100.5,5,Sm
5068_2_A_137_2,0,13,1,Gm
5068_2_A_137_2,13,75,5,Sm
5068_2_A_137_2,75,100.5,1,Gm
5068_2_A_148_1,0,50.5,5,Sm
5068_2_A_148_2,0,49,7,Sd
5068_2_A_148_2,49,80,3,Dm
5068_2_A_148_2,80,100,5,Sm
5068_2_A_151_1,0,89,5,Sm
5068_2_A_151_1,89,100,2,Fm
5068_2_A_152_2,0,100,5,Sm
5068_2_A_153_1,0,100,5,Sm
5068_2_A_156_1,0,12,5,Sm
5068_2_A_156_1,12,85,7,Sd
5068_2_A_156_1,85,101,5,Sm
5068_2_A_158_2,0,27,7,Sd
5068_2_A_158_2,27,32,2,Fm
5068_2_A_158_2,32,60,5,Sm
5068_2_A_158_2,60,100,6,Sl
5068_2_A_160_1,0,27,6,Sl
5068_2_A_160_1,27,40,3,Dm
5068_2_A_160_1,40,53,5,Sm
5068_2_A_160_1,53,88,3,Dm
5068_2_A_160_1,88,100,6,Sl
5068_2_A_161_1,0,36,6,Sl
5068_2_A_161_1,36,50,2,Fm
5068_2_A_161_1,50,100,3,Dm
5068_2_A_163_1,0,74,6,Sl
5068_2_A_163_1,74,99.5,7,Sd
5068_2_A_168_1,0,36,6,Sl
5068_2_A_168_1,36,47,2,Fm
5068_2_A_168_1,47,100,6,Sl
5068_2_A_170_1,0,100,6,Sl
5068_2_A_170_2,0,100,6,Sl
5068_2_A_172_1,0,8,6,Sl
5068_2_A_172_1,8,55,5,Sm
5068_2_A_172_1,55,88,2,Fm
5068_2_A_172_1,88,100,6,Sl
5068_2_A_172_2,0,46,6,Sl
5068_2_A_172_2,46,54,3,Dm
5068_2_A_172_2,54,100,6,Sl
5068_2_A_175_1,0,3,6,Sl
5068_2_A_175_1,3,7,2,Fm
5068_2_A_175_1,7,14,6,Sl
5068_2_A_175_1,14,40,2,Fm
5068_2_A_175_1,40,100,5,Sm
5068_2_A_181_1,0,64,5,Sm
5068_2_A_181_1,64,75,2,Fm
5068_2_A_181_1,75,100,6,Sl
5068_2_A_182_1,0,47,6,Sl
5068_2_A_182_1,47,100,5,Sm
5068_2_A_183_1,0,100,5,Sm
5068_2_A_186_2,0,35,5,Sm
5068_2_A_186_2,35,58,3,Dm
5068_2_A_186_2,58,66,5,Sm
5068_2_A_186_2,66,100,3,Dm
5068_2_A_188_1,0,56,5,Sm
5068_2_A_188_1,56,65,3,Dm
5068_2_A_188_1,65,68,2,Fm
5068_2_A_188_1,68,100.5,7,Sd
5068_2_A_189_1,0,63,7,Sd
5068_2_A_189_1,63,79,2,Fm
5068_2_A_189_1,79,101,6,Sl
5068_2_A_189_2,0,101,6,Sl
5068_2_A_190_1,0,7,6,Sl
5068_2_A_190_1,7,16,2,Fm
5068_2_A_190_1,16,37,6,Sl
5068_2_A_190_1,37,74,5,Sm
5068_2_A_190_1,74,81,2,Fm
5068_2_A_190_1,81,101,6,Sl
5068_2_A_192_1,0,22,5,Sm
5068_2_A_192_1,22,33,2,Fm
5068_2_A_192_1,33,60,6,Sl
5068_2_A_192_1,60,100,1,Gm
5068_2_A_195_1,0,101.5,1,Gm
5068_2_A_195_2,0,100.5,1,Gm
5068_2_A_199_1,0,101,1,Gm
5068_2_A_200_1,0,100.5,1,Gm
5068_2_A_200_3,0,87,5,Sm
5068_2_A_200_3,87,101,1,Gm
5068_2_A_202_1,0,39,1,Gm
5068_2_A_202_1,39,67,5,Sm
5068_2_A_202_1,67,101,1,Gm
5068_2_A_202_2,0,25,1,Gm
5068_2_A_202_2,25,101.5,5,Sm
5068_2_A_205_1,0,5,6,Sl
5068_2_A_205_1,5,35,2,Fm
5068_2_A_205_1,35,41,5,Sm
5068_2_A_205_3,0,101,5,Sm
5068_2_A_208_1,0,24,4,Dc
5068_2_A_208_1,24,100.5,5,Sm
5068_2_A_210_1,0,101,5,Sm
5068_2_A_214_1,0,100.5,5,Sm
5068_2_A_215_1,0,100.5,5,Sm
5068_2_A_218_1,0,100.5,5,Sm
5068_2_A_219_1,0,101.5,5,Sm
5068_2_A_227_1,0,21,5,Sm
5068_2_A_227_1,21,40,3,Dm
5068_2_A_227_1,40,68,5,Sm
5068_2_A_227_1,68,101,2,Fm
5068_2_A_228_1,0,11,2,Fm
5068_2_A_228_1,11,15,4,Dc
5068_2_A_228_1,15,22,2,Fm
5068_2_A_228_1,22,30,5,Sm
5068_2_A_228_1,30,51.5,1,Gm
5068_2_A_229_1,0,21,1,Gm
5068_2_A_229_1,21,51,4,Dc
5068_2_A_230_1,0,17,4,Dc
5068_2_A_230_1,17,31,3,Dm
5068_2_A_230_1,31,51,4,Dc
5068_2_A_231_1,0,50,4,Dc
